cheese,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,producers
Pecorino Mallo di Noce,sheep,Italy,Emilia-Romagna,Pecorino,"semi-hard, artisan",NA,NA,"crumbly, grainy",natural,white,"milky, nutty, subtle, sweet",nutty,NA,NA,Romaniae Terrae
Pecorino nel fieno,sheep,Italy,Pienza,NA,"soft, artisan",NA,NA,soft,natural,pale yellow,NA,NA,NA,NA,La Casera srl
Pecorino Nel Granaio,sheep,Italy,Emilia-Romagna,Pecorino,"semi-soft, artisan",NA,NA,"creamy, crumbly, smooth, soft",natural,pale yellow,creamy,"rich, strong",NA,NA,Romaniae Terrae
Pecorino Nero,sheep,Italy,Tuscany,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,ivory,"pungent, subtle","mild, milky",NA,NA,Caseificio Pinzani Srl
Pecorino Ortica,sheep,Italy,Emilia-Romagna,Pecorino,"semi-soft, artisan",NA,NA,"compact, smooth, soft",leaf wrapped,straw,"herbaceous, piquant, savory, sharp","aromatic, strong",NA,NA,Romaniae Terrae
Pecorino Papavero,sheep,Italy,Emilia-Romagna,Pecorino,"hard, artisan",NA,NA,"crumbly, flaky",natural,straw,"floral, herbaceous, smooth","aromatic, floral, herbal",NA,NA,Romaniae Terrae
Pecorino Pepato Mitica® Aged,sheep,Italy,Sardegna,NA,"semi-firm, artisan",NA,NA,"creamy, flaky",natural,ivory,"spicy, tangy",spicy,NA,NA,NA
Pecorino Pera,sheep,Italy,Emilia-Romagna,Pecorino,"semi-hard, artisan",NA,NA,"crumbly, smooth",natural,ivory,"fruity, smooth, subtle, sweet","fruity, milky, sweet",NA,NA,Romaniae Terrae
Pecorino Querciaiolo,sheep,Italy,Emilia-Romagna,Pecorino,semi-soft,NA,NA,smooth,natural,white,"smooth, subtle",strong,NA,NA,Romaniae Terrae
Pecorino Romagnolo,sheep,Italy,Emilia-Romagna,Pecorino,"semi-hard, artisan",NA,NA,"compact, crumbly",natural,ivory,"smooth, subtle",pronounced,NA,NA,Romaniae Terrae
Pecorino Romano,sheep,Italy,"Lazio, Sardinia",Pecorino,hard,NA,NA,"crumbly, grainy",natural,pale yellow,"salty, sharp",strong,FALSE,FALSE,NA
Pecorino Toscanello,sheep,Italy,Tuscany,Pecorino,semi-hard,NA,NA,"creamy, smooth",NA,pale yellow,mild,nutty,FALSE,FALSE,NA
Peekskill Pyramid,cow,United States,Peekskill,Brie,"soft, artisan",50%,NA,creamy,rindless,pale yellow,"buttery, sour, sweet",rich,FALSE,FALSE,Egg Farm Dairy
Pelardon des Cevennes,goat,France,Languedoc,Tomme,"soft, soft-ripened",NA,NA,creamy,natural,white,"acidic, fruity",goaty,FALSE,FALSE,NA
Pelardon des Corbieres,goat,France,Languedoc-Roussillon,NA,soft,45%,NA,,NA,NA,"acidic, sweet",NA,FALSE,FALSE,NA
Pembrokeshire Extra Mature Cheddar,cow,United Kingdom,Pembrokeshire,Cheddar,"semi-soft, artisan",NA,NA,"crumbly, dense",NA,yellow,"strong, tangy",rich,FALSE,FALSE,Pembrokeshire Cheese Company
Pembrokeshire Mature Cheddar,cow,United Kingdom,Pembrokeshire,Cheddar,"semi-soft, artisan",NA,NA,dense,NA,pale yellow,"smooth, tangy",strong,TRUE,FALSE,Pembrokeshire Cheese Company
Penamellera,"cow, goat, sheep",Spain,Asturias,NA,"semi-hard, artisan",NA,NA,"creamy, dense, supple",natural,pale yellow,"acidic, bitter, herbaceous","aromatic, strong",FALSE,FALSE,NA
Penbryn,cow,"Great Britain, United Kingdom, Wales",NA,Gouda,hard,45%,NA,,NA,NA,"buttery, fruity, grassy, nutty, sweet",NA,TRUE,FALSE,NA
Pencarreg,cow,Great Britain,Wales,Brie,"soft, blue-veined",40%,NA,creamy,natural,pale yellow,smooth,rich,FALSE,FALSE,NA
Pepato,sheep,Italy,NA,NA,"semi-hard, artisan",NA,NA,"creamy, flaky",natural,straw,"salty, spicy",spicy,NA,NA,NA
PepBert,cow,United States,Colorado,Camembert,"soft, artisan",NA,NA,soft-ripened,NA,ivory,"creamy, spicy","buttery, strong",NA,NA,MouCo Cheese Company
Pepper Jack,cow,United States,"Monterey, California",Monterey Jack,semi-soft,NA,NA,"creamy, smooth",natural,cream,"herbaceous, spicy","aromatic, herbal",NA,NA,NA
Pepper Rebel,cow,Austria,Sulzberg,NA,"semi-hard, artisan",50%,NA,creamy,natural,yellow,"creamy, spicy","grassy, spicy, sweet",NA,NA,Sulzberger Käserebellen Sennerei GmbH
Peppercorn Gouda,cow,United States,Utah,Gouda,"semi-hard, artisan",NA,NA,"compact, crumbly, dense",natural,yellow,"mild, nutty, sharp, spicy",NA,NA,NA,Rockhill Creamery
Perl Las Blue,cow,United Kingdom,NA,NA,semi-soft,NA,NA,creamy,NA,golden yellow,"creamy, salty",NA,NA,NA,NA
Perl Wen,cow,"United Kingdom, Wales",NA,NA,semi-soft,NA,NA,"creamy, smooth, soft",NA,white,citrusy,NA,NA,NA,NA
Perlagrigia Sotto Cenere,cow,Italy,Veneto,NA,soft,NA,NA,compact,ash coated,pale yellow,"sharp, spicy","aromatic, smokey",FALSE,FALSE,La Casearia Carpenedo S.r.l.
Perroche,goat,United Kingdom,"Herefordshire, West Midlands",NA,"fresh soft, artisan",NA,NA,,NA,white,"lemony, mild","aromatic, fresh, herbal",TRUE,FALSE,Neal's Yard Creamery
Petida,cow,Germany,NA,NA,"soft, brined",55%,190 mg/100g,creamy,artificial,white,"mild, milky","clean, fresh",TRUE,FALSE,Bergader Privatkäserei GmbH
Petit Blaja,goat,France,NA,NA,soft,NA,NA,soft,NA,golden yellow,NA,NA,NA,NA,NA
Petit Pardou,cow,France,Laruns,NA,semi-hard,50%,NA,,natural,NA,NA,aromatic,FALSE,FALSE,NA
Petit-Suisse,cow,France,"Normandy, Auvilliers",NA,fresh soft,40%,NA,"creamy, smooth",rindless,white,"mild, sweet",fresh,NA,NA,Danone
Petite Swiss,cow,United States,Wisconsin,NA,semi-hard,NA,NA,compact,natural,pale yellow,"mild, nutty, sweet","fresh, fruity",NA,NA,Emmi Roth USA
Phoebe,"goat, sheep",United States,"Tieton, Washington",Feta,"fresh soft, brined",NA,NA,soft,rindless,white,"milky, salty",fresh,NA,NA,Tieton Farm & Creamery
Pianoforte,cow,United States,California,NA,"soft, soft-ripened",NA,NA,"creamy, soft",natural,pale yellow,"acidic, mushroomy, nutty",pleasant,NA,NA,Andante Dairy
Piave,cow,Italy,Veneto,NA,"hard, artisan",NA,NA,"crystalline, dense, flaky",natural,NA,NA,NA,NA,NA,NA
Piave Fresco,cow,Italy,Veneto,Parmesan,"semi-hard, artisan",NA,NA,"creamy, smooth",natural,ivory,"mild, milky, smooth","mild, milky, pleasant",NA,NA,NA
Piave Mezzano,cow,,Veneto,Parmesan,"hard, artisan",NA,NA,"dense, firm",natural,pale yellow,"full-flavored, salty, sharp, strong","milky, pleasant",NA,NA,NA
Piave Vecchio DOP,cow,Italy,Veneto,Parmesan,"hard, artisan",NA,NA,"dense, firm, flaky",natural,golden yellow,"nutty, strong, sweet",NA,NA,NA,NA
Piave Vecchio Selezione Oro,cow,Italy,Veneto,Parmesan,"hard, artisan",NA,NA,"crumbly, dense, flaky, grainy",natural,yellow,"fruity, full-flavored, mild, sweet",NA,NA,NA,NA
Picobello,cow,Netherlands,Huizen,Gouda,hard,45%,NA,"crumbly, open",waxed,golden yellow,"caramel, nutty, sweet",NA,NA,NA,Westland Kaasexport B.V.
Picodon de Chevre,goat,France,NA,NA,"soft, artisan",NA,NA,"firm, smooth",natural,white,"sour, sweet","goaty, pungent",NA,NA,NA
Picolo,cow,United States,California,NA,"soft, artisan",NA,NA,soft-ripened,bloomy,pale yellow,"mushroomy, nutty, sweet",sweet,NA,NA,Andante Dairy
Picos de Europa,cow,Spain,NA,Blue,"semi-soft, blue-veined",NA,NA,creamy,NA,blue,"spicy, strong",NA,NA,NA,NA
Pied-de-vent,cow,Canada,Quebec,Blue,"semi-soft, blue-veined",27%,NA,"creamy, smooth",washed,cream,"mushroomy, nutty",rich,FALSE,FALSE,Fromagerie du Pied-De-Vent
Pierce Pt,cow,United States,California,NA,"soft, artisan",NA,NA,soft,bloomy,pale yellow,"savory, tangy","floral, herbal",TRUE,FALSE,Cowgirl Creamery
Pigouille,sheep,France,Charentes,NA,"soft, artisan",NA,NA,"creamy, crumbly, grainy",mold ripened,ivory,"acidic, salty, sweet, tangy",barnyardy,NA,NA,NA
Pimento,cow,United States,"Ann Arbor, Michigan",NA,"soft, artisan",NA,NA,"creamy, crumbly",rindless,brown,spicy,NA,FALSE,FALSE,Zingerman's Creamery
Pinconning,cow,United States,"Pinconning, Michigan",Cheddar,semi-hard,NA,NA,"creamy, open",natural,yellow,"mild, sharp",NA,FALSE,FALSE,Pinconning Cheese Co.
Piora,cow,Switzerland,Piora Valley,NA,hard,NA,NA,,NA,NA,NA,"aromatic, rich",FALSE,FALSE,NA
Piper's Pyramide,goat,United States,Indiana,Brie,"soft, artisan, soft-ripened",NA,NA,"creamy, dense, fluffy, soft-ripened",bloomy,white,"buttery, milky, sweet","lactic, musty",FALSE,FALSE,Capriole Goat Cheese
Pistol Point Cheddar,cow,United States,Oregon,Cheddar,"semi-hard, artisan",NA,NA,"creamy, crumbly",natural,pale yellow,"smokey , spicy",NA,TRUE,FALSE,Rogue Creamery
Pitchfork Cheddar,cow,England,NA,NA,hard,NA,NA,"compact, creamy, firm",cloth wrapped,pale yellow,"acidic, fruity, grassy, nutty, tangy","buttery, fruity, grassy, nutty, subtle",FALSE,FALSE,Trethowan Brothers
Pithtiviers au Foin,cow,France,"Centre , the department of Loiret",Camembert,"soft, artisan",NA,NA,smooth,natural,pale yellow,"burnt caramel, fruity",grassy,FALSE,FALSE,Kraft Foods Company
Pizy,cow,Canada,Quebec,Tomme,"soft, artisan, soft-ripened",27%,NA,"creamy, smooth, soft",bloomy,ivory,"bitter, buttery, mild, milky, salty",mushroom,NA,NA,Fromagerie La Suisse Normande
Plancherin d'Arêches,goat,France,NA,NA,soft,NA,NA,"creamy, smooth, soft",natural,white,"creamy, floral, herbaceous, mild, nutty, woody","floral, fresh, herbal, perfumed, woody",FALSE,FALSE,Caroline Jouguet
Pleasant Creek,goat,United States,Oregon,Swiss Cheese,hard,NA,NA,"open, smooth",natural,yellow,"buttery, mild, nutty","fruity, grassy",TRUE,FALSE,Pholia Farm
Pleasant Ridge Reserve,cow,United States,Wisconsin,NA,"semi-hard, artisan",NA,NA,"crystalline, firm, smooth",washed,golden yellow,"creamy, full-flavored, grassy, nutty",NA,FALSE,FALSE,Uplands Cheese Company
Plymouth Cheese,cow,United States,Vermont,Cheddar,"hard, artisan",NA,NA,"firm, flaky, grainy",waxed,yellow,"buttery, fruity, full-flavored, nutty, smokey , spicy, tangy","rich, smokey, strong",NA,NA,Plymouth Artisan Cheese
Podhalanski,"cow, sheep",Poland,NA,NA,"semi-hard, artisan",40%,NA,"creamy, open",natural,pale yellow,smokey,smokey,FALSE,FALSE,NA
Point Reyes Bay Blue,cow,United States,California,Blue,"soft, artisan",NA,NA,"creamy, crumbly",natural,pale yellow,"buttery, caramel, creamy, salty, sweet","earthy, strong",NA,NA,Point Reyes Farmstead Cheese Co
Point Reyes Original Blue,cow,United States,California,Blue,"semi-soft, artisan, blue-veined",NA,NA,"buttery, creamy",natural,white,"creamy, milky, strong, sweet","fresh, milky, strong",TRUE,FALSE,Point Reyes Farmstead Cheese Co
Point Reyes Toma,cow,United States,California,NA,"semi-hard, artisan",NA,NA,"buttery, creamy",waxed,ivory,"buttery, creamy",buttery,TRUE,FALSE,Point Reyes Farmstead Cheese Co
Poivre d'Ane,"cow, goat",France,NA,NA,"soft, artisan",NA,NA,smooth,natural,white,herbaceous,herbal,NA,NA,NA
Pokolbin,cow,Australia,Hunter Valley,NA,"semi-soft, smear-ripened",NA,NA,,washed,NA,"sharp, spicy",NA,FALSE,FALSE,Hunter Valley Cheese Company
Pompeii,cow,Australia,South Australia,NA,"semi-hard, artisan, smear-ripened",45%,NA,"crumbly, soft, supple",washed,cream,"herbaceous, sweet",herbal,TRUE,FALSE,Woodside Cheese Wrights
Pong's Extraordinary... Cheddar,cow,United Kingdom,NA,NA,"hard, semi-hard",NA,NA,"creamy, crumbly",NA,yellow,NA,NA,NA,NA,NA
Pont l'Eveque,cow,France,NA,NA,soft,NA,NA,creamy,washed,pale yellow,"creamy, full-flavored",NA,NA,NA,NA
Port Nicholson,cow,New Zealand,NA,NA,semi-soft,40%,NA,"creamy, smooth",washed,orange,"sour, sweet",smokey,NA,NA,Kapiti Brands NZ Ltd
Port-Salut,cow,France,Brittany,NA,semi-soft,72.70%,NA,"creamy, smooth",washed,pale yellow,"acidic, mellow",NA,FALSE,FALSE,NA
Postel,cow,Belgium,Postel,NA,NA,NA,NA,,washed,NA,NA,NA,FALSE,FALSE,NA
Pouligny-Saint-Pierre,goat,France,Berry,NA,soft,NA,NA,"creamy, crumbly",natural,ivory,"acidic, sweet",goaty,FALSE,FALSE,NA
Pourly,goat,France,Burgund,NA,"soft, artisan",45%,NA,smooth,natural,pale yellow,sweet,fresh,FALSE,FALSE,NA
Prairie Breeze Cheddar,cow,United States,Iowa,Cheddar,"hard, artisan",NA,NA,"creamy, crumbly, grainy",natural,yellow,"nutty, sharp, sweet","grassy, mild",TRUE,FALSE,Milton Creamery LLC
Prairie Rose,,United States,Iowa,Swiss Cheese,"semi-hard, artisan",NA,NA,"creamy, open",natural,yellow,"creamy, full-flavored, smooth","grassy, mild, nutty",TRUE,FALSE,Milton Creamery LLC
Prairie Tomme,sheep,United States,Missouri,Tomme,"semi-hard, artisan",NA,NA,"firm, smooth",natural,cream,"buttery, nutty",NA,FALSE,FALSE,Green Dirt Farm
Prastost,cow,Sweden,NA,Cheddar,semi-soft,45-50%,NA,creamy,NA,yellow,"salty, spicy, strong","aromatic, rich",FALSE,FALSE,NA
President Brie,cow,France,NA,Brie,"soft, artisan, soft-ripened",NA,NA,"buttery, creamy, runny, spreadable",bloomy,pale yellow,"buttery, creamy, subtle",rich,NA,NA,NA
President Camembert,cow,United States,New York,Camembert,"semi-soft, soft-ripened",NA,NA,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,NA,NA,President Cheese
President Fat Free Feta,cow,"France, United States",New York,Feta,"firm, artisan, brined",0 g/100g,30 mg/100g,crumbly,natural,white,"herbaceous, salty, tangy",fresh,NA,NA,President Cheese
President Light Brie,cow,France,New York,Brie,"soft, soft-ripened",NA,NA,"creamy, runny, smooth",bloomy,white,"creamy, mild, nutty, tangy",strong,NA,NA,President Cheese
President Madrigal,cow,France,NA,Swiss Cheese,"semi-hard, artisan",NA,NA,"smooth, soft",natural,straw,"nutty, sweet",NA,NA,NA,President Cheese
Prima Donna,cow,Netherlands,NA,Parmesan,hard,NA,NA,"crumbly, crystalline, firm, grainy",natural,yellow,"full-flavored, nutty, sweet",NA,NA,NA,Vandersterre Groep International B.V.
Prima Donna fino,cow,Netherlands,NA,Parmesan,hard,30.5 g/100g,921 mg/100g,"crumbly, crystalline, firm",natural,pale yellow,"full-flavored, nutty, sweet",rich,NA,NA,Vandersterre Groep International B.V.
Prima Donna forte,,Netherlands,NA,Parmesan,hard,33 g/100g,990 mg/100g,"crumbly, crystalline, flaky, grainy",natural,yellow,"nutty, strong, sweet",NA,NA,NA,Vandersterre Groep International B.V.
Prima Donna leggero,cow,Netherlands,NA,Parmesan,hard,18.3 g/100g,1071 mg/100g,"crumbly, crystalline, firm",natural,yellow,"savory, sharp",NA,NA,NA,Vandersterre Groep International B.V.
Prima Donna maturo,cow,Netherlands,NA,Parmesan,hard,32.3 g/100g,749 mg/100g,"crumbly, crystalline, firm, grainy",natural,yellow,sharp,NA,NA,NA,Vandersterre Groep International B.V.
Primo Fresco,sheep,United States,California,NA,"fresh soft, artisan",NA,NA,"creamy, fluffy, spreadable",natural,white,"salty, savory, subtle, tangy","fresh, mild",TRUE,FALSE,Weirauch Farm and Creamery
Prince-Jean,cow,Belgium,NA,NA,"fresh soft, artisan",NA,NA,creamy,natural,white,buttery,"fresh, rich",FALSE,FALSE,NA
Prix de Diane,cow,United States,Maine,Brie,"soft, artisan",NA,NA,"creamy, soft, soft-ripened",bloomy,pale yellow,"buttery, citrusy, creamy, subtle",rich,TRUE,FALSE,Lakin's Gorges Cheese LLC
Processed Cheddar,cow,,NA,Cheddar,"semi-hard, processed",NA,NA,"creamy, smooth",NA,NA,sharp,NA,NA,NA,NA
Processed Cheese,cow,,NA,NA,"soft, processed",NA,NA,"creamy, smooth, spreadable, springy",plastic,NA,NA,NA,FALSE,FALSE,Various
Processed Smoked Gouda,cow,United States,Wisconsin,Gouda,"semi-hard, processed",NA,NA,creamy,natural,straw,"creamy, mild, smokey",smokey,NA,NA,Emmi Roth USA
Promontory,cow,United States,Utah,Cheddar,"hard, artisan",NA,NA,"creamy, firm",NA,pale yellow,"buttery, citrusy","fruity, rich",TRUE,FALSE,Beehive Cheese Company
Provel,cow,United States,"St. Louis, Missouri",Cheddar,"soft, processed",NA,NA,"buttery, gooey",plastic,white,buttery,smokey,FALSE,FALSE,NA
Providence,goat,United States,North Carolina,NA,"semi-soft, artisan",NA,NA,"compact, crumbly",washed,pale yellow,creamy,yeasty,FALSE,FALSE,Goat Lady Dairy
Provoleta,water buffalo,Argentina,NA,Pasta filata,"semi-hard, artisan",45%,316 mg/100g,"creamy, smooth, springy",NA,pale yellow,"mild, smokey",fresh,FALSE,FALSE,NA
Provolone,cow,Italy,Po valley region,Pasta filata,"semi-hard, artisan",NA,NA,firm,NA,pale yellow,tangy,pleasant,NA,NA,NA
Provolone del Monaco,cow,Italy,Naples,Pasta filata,"semi-hard, artisan",40.50%,157 mg/100g,"firm, grainy",NA,pale yellow,"buttery, sweet",pleasant,FALSE,FALSE,NA
Provolone Mandarino Gran Riserva,cow,Italy,Veneto,Pasta filata,"semi-hard, artisan",NA,NA,"elastic, stringy, supple",natural,white,"pronounced, spicy, subtle",spicy,FALSE,FALSE,La Casearia Carpenedo S.r.l.
Provolone Valpadana,cow,Italy,Valpadana,Pasta filata,"semi-hard, artisan",NA,NA,firm,NA,pale yellow,full-flavored,rich,FALSE,FALSE,NA
Président Fresh Goat Cheese,goat,France,Poitou-Charentes,NA,"fresh firm, artisan",NA,NA,"dense, smooth",natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",NA,NA,President Cheese
PsycheDillic,goat,United States,California,NA,fresh soft,NA,NA,"creamy, smooth, spreadable",rindless,white,"creamy, full-flavored, herbaceous",aromatic,TRUE,FALSE,Cypress Grove Chevre
Pule,donkey,Serbia,Zasavica,NA,artisan,NA,NA,crumbly,NA,white,NA,NA,NA,NA,NA
Purple Haze,goat,United States,California,NA,fresh soft,NA,NA,"creamy, crumbly, smooth, spreadable",rindless,white,"earthy, herbaceous",aromatic,TRUE,FALSE,Cypress Grove Chevre
Purple's a Must,"cow, goat","Canada, Italy",Lombardy,Blue,"semi-hard, artisan, blue-veined",NA,NA,"creamy, crumbly",mold ripened,pale yellow,"full-flavored, strong",rich,NA,NA,Fifth Town Artisan Cheese
Pyengana Cheddar,cow,Australia,Tasmania,Cheddar,"hard, semi-hard, artisan",NA,NA,"creamy, crumbly, smooth",natural,pale yellow,"acidic, full-flavored, herbaceous, savory, spicy","grassy, herbal",FALSE,FALSE,Pyengana Dairy Company
Pyramide,goat,France,Loire Valley,NA,"soft, artisan",NA,NA,crumbly,natural,ivory,NA,pungent,FALSE,FALSE,NA
Pérail de Brebis,sheep,France,NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,pale yellow,"full-flavored, strong",goaty,NA,NA,NA
Saaland Pfarr,cow,Sweden,NA,NA,semi-soft,45-50%,NA,creamy,NA,yellow,"salty, spicy, strong","aromatic, rich",FALSE,FALSE,Norrmejerier
Saanen Silk,goat,Canada,Ontario,NA,"semi-soft, artisan, soft-ripened",NA,NA,"creamy, fluffy, runny, soft-ripened",bloomy,white,"mild, mushroomy","floral, pleasant",FALSE,FALSE,Cross Wind Farm
Saanenkaese,cow,Switzerland,NA,Parmesan,"hard, processed",NA,NA,"brittle, firm",natural,pale yellow,fruity,strong,FALSE,FALSE,NA
Saga,cow,Denmark,NA,Brie,"soft, blue-veined, soft-ripened",NA,NA,creamy,bloomy,white,"creamy, mild",mild,FALSE,FALSE,NA
Sage Derby,cow,"England, United Kingdom",East Midlands,NA,"semi-hard, artisan",45%,NA,firm,NA,green,"herbaceous, mild",herbal,TRUE,FALSE,NA
Saint Agur,cow,France,Auvergne,Blue,"soft, blue-veined",60%,NA,"creamy, smooth, spreadable",NA,blue,"fruity, mellow, sharp",strong,FALSE,FALSE,Savencia Fromage & Dairy
Saint Albray,cow,France,Aquitaine,NA,semi-soft,NA,NA,"creamy, smooth",washed,NA,"mild, sweet","buttery, mild",NA,NA,NA
Saint André,cow,France,NA,Brie,"soft, soft-ripened",NA,NA,"creamy, dense",bloomy,ivory,"buttery, tangy",rich,NA,NA,NA
Saint Felicien,cow,France,NA,NA,"soft, artisan",NA,NA,creamy,NA,white,creamy,nutty,NA,NA,NA
Saint Honoré,cow,Canada,Quebec,Brie,"soft, soft-ripened",NA,NA,"creamy, smooth, soft, soft-ripened, supple",bloomy,cream,"creamy, mild",mild,NA,NA,La Maison Alexis de Portneuf Inc.
Saint Marcellin,cow,France,NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,white,"mild, tangy",NA,FALSE,FALSE,NA
Saint Nectaire,cow,France,Auvergne,Tomme,"semi-soft, artisan",NA,NA,"creamy, smooth",washed,ivory,pungent,grassy,FALSE,FALSE,NA
Saint Paulin,cow,France,NA,Saint-Paulin,"semi-soft, artisan",NA,NA,"creamy, firm",washed,NA,"buttery, sweet",milky,NA,NA,Fromagerie Fritz Kaiser
Saint Rose,sheep,United States,California,NA,"semi-soft, artisan",NA,NA,firm,natural,pale yellow,"citrusy, floral, nutty, sharp","grassy, mild",TRUE,FALSE,Weirauch Farm and Creamery
Sainte-Maure de Touraine AOC,goat,France,Loire,NA,"semi-soft, artisan",NA,NA,"creamy, fluffy, soft",NA,white,NA,NA,FALSE,FALSE,NA
Salemville Amish Blue,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly",NA,ivory,"creamy, earthy","earthy, rich",NA,NA,"DCI Cheese Company, Inc"
Salemville Amish Gorgonzola,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly",NA,ivory,"creamy, earthy, piquant","earthy, rich",NA,NA,"DCI Cheese Company, Inc"
Salemville Smokehaus Blue,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",NA,NA,creamy,NA,ivory,"creamy, smokey","earthy, rich, smokey",NA,NA,"DCI Cheese Company, Inc"
Salers,cow,France,"Auvergne, Salers",NA,semi-hard,NA,NA,,NA,red,"fruity, spicy",NA,FALSE,FALSE,NA
Salsa Asiago,cow,United States,Wisconsin,NA,"hard, artisan",NA,NA,"compact, firm, open, smooth",natural,pale yellow,"creamy, garlicky, nutty, sharp, spicy","aromatic, nutty, pungent",TRUE,FALSE,Sartori
Saltbush Chevre,goat,Australia,South Australia,NA,"fresh firm, artisan",45%,NA,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",TRUE,FALSE,Woodside Cheese Wrights
Samso,cow,Denmark,NA,NA,semi-hard,30-45%,NA,supple,waxed,yellow,"nutty, sour, sweet",NA,FALSE,FALSE,NA
San Andreas,sheep,United States,California,NA,"hard, artisan",NA,NA,"creamy, firm, open, smooth",natural,straw,"butterscotch, nutty, sweet","clean, mild, rich",TRUE,FALSE,Bellwether Farms
San Geronimo,cow,United States,Nicasio,NA,"semi-soft, brined",NA,NA,smooth,washed,white,"acidic, meaty, mellow, mild, tangy, tart",earthy,FALSE,FALSE,Nicasio Valley Cheese Company
San Simón DOP,cow,Spain,Galicia,NA,semi-soft,NA,NA,"buttery, creamy",natural,cream,buttery,"smokey, woody",FALSE,FALSE,NA
Sancerre,goat,France,NA,NA,hard,40%,NA,,natural,NA,"nutty, strong",NA,FALSE,FALSE,NA
Sandy Creek,goat,United States,North Carolina,NA,"soft, soft-ripened",NA,NA,"runny, smooth",mold ripened,ivory,"citrusy, lemony, mushroomy, tangy","earthy, grassy",TRUE,FALSE,Goat Lady Dairy
Santa Gadea,goat,Spain,NA,NA,"soft, semi-soft",NA,NA,"creamy, smooth, soft",NA,white,NA,NA,NA,NA,NA
Sao Jorge,cow,Portugal,Azores,NA,semi-hard,NA,NA,"chalky, crumbly, firm",natural,golden yellow,"spicy, tangy",NA,FALSE,FALSE,NA
Sap Sago,cow,Switzerland,Canton of Glarus,NA,hard,NA,NA,dry,natural,green,NA,herbal,NA,NA,NA
Saporito,cow,Italy,"Treviso, Veneto",NA,"semi-hard, artisan",NA,NA,creamy,natural,ivory,"creamy, mild",herbal,NA,NA,Moro Latteria di Moro Sergio
Sardo,cow,Argentina,NA,NA,hard,NA,NA,"crumbly, firm, flaky",natural,pale yellow,"full-flavored, salty, sharp",NA,FALSE,FALSE,NA
Sarró de Cabra,goat,Spain,Barcelona,NA,"semi-soft, artisan",NA,NA,buttery,cloth wrapped,white,"citrusy, strong, tangy","mild, sweet",NA,NA,Formatgeries Montbrú
Sartori Classic Cheese Asiago,cow,United States,Wisconsin,NA,"hard, artisan",NA,NA,"compact, crumbly, open, smooth",natural,NA,"creamy, mild, nutty",pungent,TRUE,FALSE,Sartori
Sartori Classic Cheese Fontina,cow,United States,Wisconsin,NA,"semi-soft, artisan",NA,NA,creamy,natural,pale yellow,"creamy, nutty, smooth, sweet","aromatic, lactic",TRUE,FALSE,Sartori
Sartori Classic Cheese Parmesan,cow,United States,Wisconsin,Parmesan,"hard, artisan",NA,NA,"crumbly, dry, grainy",natural,yellow,"mellow, nutty, sweet",NA,TRUE,FALSE,Sartori
Sartori Classic Cheese Romano,cow,United States,Wisconsin,NA,"hard, artisan",NA,NA,"brittle, crumbly, dense, flaky",natural,straw,"nutty, savory, tangy",spicy,TRUE,FALSE,Sartori
Sartori Classic MontAmore,cow,United States,Wisconsin,Parmesan,"semi-hard, artisan",NA,NA,"dense, firm",rindless,pale yellow,"creamy, fruity, sweet, tangy","fresh, fruity, pleasant",TRUE,FALSE,Sartori
Sartori Limited Edition Cannella BellaVitano,cow,United States,Wisconsin,NA,hard,NA,NA,creamy,NA,pale yellow,"buttery, fruity, mild, sweet","fresh, rich",TRUE,FALSE,Sartori
Sartori Limited Edition Cognac BellaVitano,cow,United States,Northern Wisconsin,NA,hard,NA,NA,creamy,NA,NA,"buttery, mild, smokey , sweet","nutty, smokey",TRUE,FALSE,Sartori
Sartori Limited Edition Extra-Aged Goat,goat,United States,Wisconsin,NA,"semi-firm, artisan",NA,NA,creamy,NA,NA,"mild, savory","mild, pleasant",NA,NA,Sartori
Sartori Limited Edition Family Heirloom BellaVitano,cow,United States,Wisconsin,NA,"hard, artisan",NA,NA,"crumbly, dry",natural,pale yellow,"full-flavored, strong, sweet","fermented, grassy, rich",TRUE,FALSE,Sartori
Sartori Limited Edition Family Heirloom Parmesan,cow,United States,Wisconsin,Parmesan,"hard, artisan",NA,NA,"crumbly, flaky, grainy",natural,golden yellow,"caramel, fruity, nutty, piquant, sweet","buttery, nutty, woody",TRUE,FALSE,Sartori
Sartori Limited Edition Pastorale Blend,"cow, sheep",United States,Wisconsin,NA,"semi-hard, artisan",NA,NA,creamy,natural,pale yellow,"nutty, sweet","earthy, nutty, sweet",NA,NA,Sartori
